loan_id,age,annual_income,loan_amount,loan_term_months,interest_rate,credit_score,employment_years,num_credit_lines,debt_to_income,loan_purpose,home_ownership,default
L00900,58,48773,8012,12,14.82,434,22,6,0.164,vacation,RENT,0
L00901,32,27876,24253,48,21.9,760,14,6,0.87,car,OWN,0
L00902,57,54923,31202,60,23.8,788,0,9,0.568,home_improvement,RENT,0
L00903,34,90159,31236,60,7.2,380,29,9,0.346,debt_consolidation,RENT,0
L00904,64,52682,3620,48,7.47,666,8,2,0.069,car,MORTGAGE,0
L00905,24,68117,48352,12,7.48,358,25,3,0.71,car,OWN,0
L00906,54,29845,35716,12,17.94,373,15,7,1.197,home_improvement,RENT,0
L00907,27,47174,11319,48,12.08,538,8,9,0.24,vacation,MORTGAGE,0
L00908,31,63324,18575,36,18.93,428,15,6,0.293,home_improvement,RENT,0
L00909,26,56905,14204,36,12.7,711,1,1,0.25,home_improvement,RENT,0
L00910,44,69844,13952,24,16.92,614,9,7,0.2,vacation,MORTGAGE,0
L00911,31,44151,19787,12,19.63,673,24,1,0.448,vacation,RENT,0
L00912,23,23500,35872,12,15.42,736,17,5,1.526,car,MORTGAGE,0
L00913,34,75197,31376,48,15.25,437,12,9,0.417,debt_consolidation,MORTGAGE,0
L00914,61,38149,2548,48,6.68,754,1,9,0.067,home_improvement,RENT,0
L00915,23,64118,13640,36,12.8,308,28,1,0.213,debt_consolidation,OWN,0
L00916,41,63115,28437,12,15.37,531,28,6,0.451,vacation,RENT,0
L00917,22,25052,24145,12,13.78,696,12,3,0.964,vacation,RENT,0
L00918,58,73884,9903,60,22.11,617,23,9,0.134,home_improvement,MORTGAGE,0
L00919,30,44801,20168,24,22.22,806,2,3,0.45,car,RENT,0
L00920,38,55990,28863,24,20.62,821,29,2,0.516,home_improvement,RENT,0
L00921,30,48552,45381,36,12.13,386,14,8,0.935,car,OWN,1
L00922,32,84206,30548,12,18.63,617,2,3,0.363,medical,OWN,0
L00923,36,79182,10990,60,12.51,632,22,5,0.139,car,MORTGAGE,0
L00924,45,22377,13467,12,9.42,659,9,6,0.602,home_improvement,MORTGAGE,0
L00925,59,95658,25901,48,11.52,540,5,1,0.271,home_improvement,MORTGAGE,0
L00926,56,42790,25301,36,6.35,355,22,7,0.591,car,MORTGAGE,0
L00927,51,92843,39006,24,11.3,409,21,7,0.42,debt_consolidation,RENT,0
L00928,52,50388,21644,12,13.75,348,13,5,0.43,car,OWN,0
L00929,26,48863,6367,36,23.15,315,8,9,0.13,medical,RENT,0
L00930,35,50548,40419,24,10.95,372,17,2,0.8,medical,MORTGAGE,0
L00931,32,47785,18204,12,22.15,501,7,5,0.381,debt_consolidation,RENT,0
L00932,30,100439,21755,60,9.35,392,26,2,0.217,medical,MORTGAGE,0
L00933,55,53625,4093,36,8.63,332,5,2,0.076,home_improvement,MORTGAGE,0
L00934,33,49558,6001,12,14.86,718,14,9,0.121,debt_consolidation,MORTGAGE,0
L00935,56,56386,32783,24,17.78,502,13,7,0.581,debt_consolidation,OWN,0
L00936,56,37587,24940,24,5.84,611,14,4,0.664,debt_consolidation,RENT,1
L00937,22,83748,9810,60,9.2,768,19,8,0.117,education,OWN,0
L00938,61,28520,46040,36,13.66,693,5,4,1.614,car,RENT,0
L00939,43,43947,39322,36,11.29,510,21,1,0.895,car,MORTGAGE,0
L00940,50,71859,28008,12,18.54,455,11,3,0.39,debt_consolidation,MORTGAGE,0
L00941,29,55762,20901,24,14.71,621,9,1,0.375,medical,MORTGAGE,0
L00942,32,64885,29433,24,8.05,734,18,2,0.454,education,RENT,0
L00943,62,82596,43465,60,21.99,339,7,2,0.526,education,RENT,0
L00944,58,73068,24189,60,10.57,339,4,7,0.331,home_improvement,MORTGAGE,0
L00945,35,57474,47139,36,18.89,752,26,4,0.82,home_improvement,RENT,0
L00946,51,92608,30730,24,19.82,489,9,9,0.332,car,MORTGAGE,1
L00947,56,43689,11236,12,23.3,314,10,2,0.257,vacation,MORTGAGE,0
L00948,42,53194,48537,48,14.47,423,19,9,0.912,debt_consolidation,RENT,0
L00949,58,54452,9061,12,16.7,579,13,6,0.166,vacation,OWN,0
L00950,26,53156,20588,60,11.36,347,13,8,0.387,home_improvement,MORTGAGE,1
L00951,40,35754,5902,12,17.89,488,28,7,0.165,car,OWN,0
L00952,35,26494,36120,24,13.8,603,1,8,1.363,car,OWN,0
L00953,47,62509,36364,36,13.32,404,29,9,0.582,car,RENT,0
L00954,25,43597,43535,48,21.25,668,25,8,0.999,car,RENT,0
L00955,46,89340,35447,36,5.95,800,16,6,0.397,car,MORTGAGE,0
L00956,63,53694,30874,48,21.76,759,14,8,0.575,debt_consolidation,RENT,0
L00957,46,50473,22096,48,21.19,546,28,8,0.438,education,MORTGAGE,0
L00958,39,74698,14020,24,14.62,563,22,2,0.188,vacation,OWN,0
L00959,61,62239,46864,24,14.31,505,25,2,0.753,education,MORTGAGE,0
L00960,29,51840,46153,60,11.87,806,26,1,0.89,home_improvement,MORTGAGE,0
L00961,60,43466,43277,60,23.89,829,2,2,0.996,home_improvement,MORTGAGE,0
L00962,61,120838,23685,48,7.11,663,2,7,0.196,education,RENT,0
L00963,35,61512,40502,60,16.21,639,2,3,0.658,car,OWN,0
L00964,53,74519,17675,24,17.95,706,25,4,0.237,car,RENT,0
L00965,59,36586,26365,60,22.75,752,27,4,0.721,education,RENT,0
L00966,54,44596,24276,48,19.82,449,28,4,0.544,car,OWN,0
L00967,44,93022,14693,36,17.23,492,2,2,0.158,education,MORTGAGE,0
L00968,36,80144,25513,12,7.22,446,17,6,0.318,medical,RENT,0
L00969,54,63237,25621,60,12.1,705,5,1,0.405,home_improvement,RENT,0
L00970,46,48131,25711,24,7.64,482,13,5,0.534,car,OWN,0
L00971,38,50787,42175,36,21.74,405,25,2,0.83,vacation,MORTGAGE,1
L00972,54,42830,46554,24,19.24,535,2,9,1.087,medical,RENT,0
L00973,23,34176,29785,60,19.39,478,0,2,0.872,debt_consolidation,RENT,0
L00974,35,71629,4542,48,17.39,731,9,6,0.063,medical,MORTGAGE,0
L00975,61,64698,19062,12,14.63,700,12,4,0.295,medical,RENT,0
L00976,61,68249,7366,12,7.85,824,28,6,0.108,medical,MORTGAGE,0
L00977,60,48935,28465,36,11.26,839,8,2,0.582,vacation,OWN,0
L00978,27,59601,34286,12,7.6,622,21,2,0.575,home_improvement,RENT,0
L00979,27,47223,42178,48,18.77,560,21,7,0.893,car,OWN,0
L00980,24,41908,44603,24,8.04,698,25,3,1.064,vacation,MORTGAGE,0
L00981,28,85007,15647,48,18.34,636,24,3,0.184,vacation,RENT,0
L00982,29,57187,40309,36,18.15,599,1,7,0.705,education,RENT,0
L00983,63,64134,45201,36,13.73,418,9,8,0.705,car,OWN,1
L00984,36,70043,45315,12,7.57,712,24,7,0.647,education,RENT,0
L00985,50,57412,11860,48,10.98,683,29,3,0.207,education,OWN,1
L00986,54,59331,12745,24,11.08,779,11,3,0.215,medical,MORTGAGE,0
L00987,51,35440,8818,48,18.31,604,18,7,0.249,education,MORTGAGE,0
L00988,60,38869,16101,24,7.16,495,2,3,0.414,debt_consolidation,RENT,0
L00989,48,37939,7028,24,20.75,632,18,2,0.185,medical,RENT,0
L00990,57,65898,34725,48,19.46,319,0,7,0.527,medical,RENT,0
L00991,50,56276,45722,60,8.54,732,25,3,0.812,education,MORTGAGE,0
L00992,59,38871,23087,48,18.66,725,14,5,0.594,education,RENT,0
L00993,54,65441,47538,24,17.7,528,22,7,0.726,home_improvement,RENT,0
L00994,58,64782,11438,36,19.21,823,25,2,0.177,medical,MORTGAGE,0
L00995,48,42490,20156,36,8.59,516,12,8,0.474,debt_consolidation,OWN,0
L00996,54,54499,20548,12,7.99,674,6,2,0.377,vacation,RENT,0
L00997,25,64848,41879,36,9.49,335,1,4,0.646,education,RENT,0
L00998,43,39549,26767,60,11.95,327,21,4,0.677,medical,OWN,1
L00999,23,65192,40881,24,20.08,671,19,8,0.627,vacation,MORTGAGE,0
L01000,31,60418,4563,48,19.02,385,10,1,0.076,education,OWN,1
L01001,26,37014,10498,48,22.58,487,22,9,0.284,home_improvement,RENT,0
L01002,31,58956,10131,60,6.11,604,15,6,0.172,education,RENT,0
L01003,54,61581,27107,36,5.22,721,13,4,0.44,debt_consolidation,MORTGAGE,0
L01004,59,43731,30793,24,18.28,379,29,6,0.704,car,MORTGAGE,0
L01005,34,45148,4696,36,10.31,485,22,6,0.104,car,RENT,0
L01006,52,36848,25705,12,11.35,304,14,9,0.698,education,RENT,1
L01007,57,46918,25397,36,15.39,796,19,4,0.541,home_improvement,OWN,0
L01008,45,54782,9704,12,6.95,808,18,8,0.177,debt_consolidation,OWN,0
L01009,36,45198,18442,48,17.21,301,6,1,0.408,education,RENT,0
L01010,50,28272,11765,24,11.18,516,8,6,0.416,vacation,OWN,0
L01011,29,42605,12002,12,17.02,836,3,5,0.282,home_improvement,MORTGAGE,0
L01012,26,47488,13390,36,20.85,556,5,3,0.282,medical,OWN,0
L01013,50,69703,46436,36,8.25,752,22,4,0.666,vacation,RENT,0
L01014,25,65705,20946,48,22.69,723,9,8,0.319,education,MORTGAGE,0
L01015,33,70051,8641,60,15.08,623,2,2,0.123,medical,RENT,0
L01016,23,41697,35709,60,22.54,798,20,8,0.856,medical,RENT,0
L01017,48,57547,47583,36,8.95,496,27,7,0.827,vacation,OWN,0
L01018,52,15000,41309,60,16.49,803,29,1,2.754,medical,OWN,1
L01019,57,62720,17624,24,12.67,571,0,2,0.281,car,MORTGAGE,0
L01020,57,65996,11966,60,19.71,317,5,7,0.181,vacation,RENT,0
L01021,47,48670,25814,24,16.51,406,4,3,0.53,home_improvement,RENT,1
L01022,64,60317,36189,36,14.4,828,22,2,0.6,car,MORTGAGE,0
L01023,48,27731,7765,36,22.35,424,14,1,0.28,home_improvement,RENT,0
L01024,26,40580,32222,36,12.17,782,24,7,0.794,debt_consolidation,RENT,0
L01025,41,68778,19223,48,9.18,303,10,3,0.279,home_improvement,OWN,0
L01026,32,64202,38769,60,16.55,650,19,6,0.604,vacation,MORTGAGE,0
L01027,31,47586,14647,12,16.86,650,24,8,0.308,home_improvement,OWN,0
L01028,61,69604,40016,12,13.34,527,12,6,0.575,debt_consolidation,RENT,0
L01029,59,57489,6959,36,14.25,315,5,7,0.121,medical,OWN,0
L01030,27,45924,29257,60,23.23,724,4,6,0.637,vacation,MORTGAGE,0
L01031,29,51709,33984,24,18.92,763,1,7,0.657,education,MORTGAGE,0
L01032,44,46802,24212,12,7.1,545,16,5,0.517,car,RENT,0
L01033,47,33692,29215,36,9.03,476,23,9,0.867,car,MORTGAGE,0
L01034,64,77620,38657,12,23.54,842,11,3,0.498,home_improvement,MORTGAGE,0
L01035,33,44775,31057,12,18.8,808,11,6,0.694,car,MORTGAGE,0
L01036,47,40017,36094,12,22.39,532,21,9,0.902,debt_consolidation,MORTGAGE,0
L01037,34,27471,40669,36,10.77,337,13,1,1.48,education,RENT,0
L01038,61,15000,38126,36,19.1,790,6,5,2.542,car,OWN,0
L01039,39,67626,36353,48,18.57,743,21,4,0.538,home_improvement,MORTGAGE,0
L01040,46,69284,15500,48,10.6,319,25,9,0.224,car,RENT,0
L01041,54,76474,46328,48,15.47,410,28,1,0.606,medical,RENT,0
L01042,61,52317,18772,12,16.92,786,13,4,0.359,medical,RENT,0
L01043,64,49204,5332,60,14.14,388,6,1,0.108,car,MORTGAGE,0
L01044,33,45860,24218,36,20.72,618,8,3,0.528,vacation,MORTGAGE,0
L01045,57,47501,37588,48,20.82,417,13,4,0.791,education,OWN,1
L01046,25,75156,17472,60,21.16,733,20,1,0.232,car,MORTGAGE,0
L01047,26,54522,6959,48,20.27,538,16,5,0.128,medical,MORTGAGE,0
L01048,58,61805,19443,48,14.27,371,16,6,0.315,medical,MORTGAGE,0
L01049,29,47043,47134,60,12.25,698,24,1,1.002,debt_consolidation,RENT,0
L01050,63,78775,27874,48,20.8,703,20,4,0.354,home_improvement,OWN,0
L01051,49,20714,3301,12,14.31,550,29,4,0.159,debt_consolidation,MORTGAGE,0
L01052,52,33030,45319,12,9.68,494,12,1,1.372,vacation,RENT,0
L01053,30,61834,26080,12,14.64,521,28,2,0.422,home_improvement,RENT,0
L01054,50,86510,22683,24,7.7,481,26,5,0.262,car,RENT,0
L01055,35,50948,31656,48,18.14,555,28,2,0.621,car,MORTGAGE,0
L01056,61,39837,24455,24,11.38,387,17,3,0.614,vacation,OWN,0
L01057,62,73011,6112,36,9.95,791,18,9,0.084,education,OWN,0
L01058,43,60826,47531,60,23.17,635,16,5,0.781,medical,RENT,0
L01059,32,78223,46542,36,19.76,837,5,1,0.595,education,RENT,0
L01060,44,31773,18882,24,19.95,706,11,5,0.594,car,MORTGAGE,0
L01061,22,76810,34145,12,16.85,588,5,3,0.445,debt_consolidation,RENT,0
L01062,58,27127,43388,48,20.94,661,2,1,1.599,medical,OWN,0
L01063,42,49812,34735,48,19.42,740,14,3,0.697,car,RENT,0
L01064,47,62430,9245,12,16.38,329,2,6,0.148,medical,RENT,0
L01065,57,58348,46599,48,23.26,847,22,5,0.799,education,MORTGAGE,0
L01066,44,74090,4105,60,8.64,522,14,1,0.055,home_improvement,MORTGAGE,0
L01067,22,22120,44513,60,22.92,423,0,2,2.012,car,RENT,1
L01068,61,57538,23711,60,12.63,514,20,5,0.412,car,RENT,0
L01069,36,76593,7630,36,15.04,417,28,9,0.1,medical,RENT,0
L01070,42,56067,5206,12,7.33,526,2,5,0.093,home_improvement,RENT,0
L01071,30,34437,20953,60,15.26,743,4,5,0.608,debt_consolidation,OWN,0
L01072,30,73135,37396,24,16.61,848,26,1,0.511,home_improvement,OWN,0
L01073,31,43330,12068,60,23.96,736,13,5,0.279,debt_consolidation,MORTGAGE,0
L01074,47,40162,15394,36,23.53,311,3,8,0.383,vacation,MORTGAGE,0
L01075,62,37897,3067,24,23.36,421,21,9,0.081,education,RENT,0
L01076,56,51423,17245,12,11.62,846,27,3,0.335,home_improvement,MORTGAGE,0
L01077,46,58295,11859,12,23.83,788,8,4,0.203,debt_consolidation,MORTGAGE,0
L01078,47,32156,31164,60,13.65,550,17,7,0.969,medical,OWN,0
L01079,32,35854,41410,24,21.18,781,9,7,1.155,debt_consolidation,MORTGAGE,0
L01080,59,42499,17377,24,9.11,849,7,1,0.409,vacation,MORTGAGE,0
L01081,23,37810,38834,60,14.61,579,29,6,1.027,debt_consolidation,OWN,0
L01082,28,55661,35715,60,23.35,636,12,9,0.642,education,MORTGAGE,0
L01083,39,61501,22773,48,22.99,467,1,5,0.37,home_improvement,OWN,0
L01084,48,59029,35939,48,17.99,627,19,8,0.609,debt_consolidation,OWN,0
L01085,55,59055,8114,60,20.16,545,24,9,0.137,home_improvement,RENT,0
L01086,48,85077,34939,36,8.35,600,19,3,0.411,vacation,MORTGAGE,0
L01087,38,62626,14818,48,18.71,499,6,1,0.237,debt_consolidation,RENT,0
L01088,64,69111,11335,60,16.74,799,10,2,0.164,debt_consolidation,OWN,0
L01089,45,47536,44819,24,6.74,312,4,5,0.943,vacation,OWN,1
L01090,46,71992,8209,48,7.15,665,28,7,0.114,education,OWN,0
L01091,28,46677,45148,36,7.06,396,17,6,0.967,debt_consolidation,MORTGAGE,0
L01092,27,62406,5577,12,18.76,370,7,4,0.089,home_improvement,OWN,0
L01093,45,30315,10380,24,7.69,656,26,9,0.342,education,RENT,0
L01094,54,57992,6076,36,13.89,843,25,4,0.105,car,MORTGAGE,0
L01095,50,37443,34925,36,11.78,549,9,3,0.933,education,MORTGAGE,0
L01096,64,71848,42545,36,15.46,553,1,5,0.592,car,MORTGAGE,0
L01097,43,70765,43205,24,18.42,481,2,4,0.611,home_improvement,RENT,0
L01098,47,46600,13095,36,18.01,465,25,2,0.281,debt_consolidation,OWN,0
L01099,49,91892,21179,12,14.79,303,22,3,0.23,home_improvement,MORTGAGE,0
L01100,42,49854,41968,48,13.82,762,4,7,0.842,vacation,RENT,0
L01101,28,25983,30400,24,12.56,444,15,2,1.17,home_improvement,MORTGAGE,0
L01102,38,40975,20761,36,21.38,464,9,1,0.507,car,RENT,1
L01103,41,36205,49615,60,11.29,643,10,2,1.37,education,OWN,0
L01104,62,61832,43809,48,9.93,404,18,8,0.709,medical,OWN,0
L01105,41,32763,3810,24,19.12,847,15,8,0.116,vacation,OWN,0
L01106,43,45294,23574,60,11.84,613,11,2,0.52,debt_consolidation,OWN,0
L01107,49,60661,30562,60,21.09,468,1,6,0.504,education,RENT,0
L01108,61,57495,42663,36,11.23,819,10,7,0.742,home_improvement,MORTGAGE,0
L01109,28,54772,20510,24,18.34,735,21,1,0.374,vacation,RENT,0
L01110,22,57268,8953,36,5.86,811,25,7,0.156,car,OWN,0
L01111,53,48330,41091,12,12.33,708,0,8,0.85,debt_consolidation,RENT,0
L01112,34,26132,24131,60,11.52,735,23,9,0.923,home_improvement,OWN,1
L01113,51,47856,28883,12,20.52,614,4,8,0.604,education,OWN,0
L01114,44,63437,40373,36,23.37,841,20,3,0.636,home_improvement,MORTGAGE,0
L01115,40,52535,7891,48,13.76,362,13,8,0.15,debt_consolidation,OWN,0
L01116,53,62046,37844,60,20.67,331,17,3,0.61,education,RENT,0
L01117,51,44437,20728,48,18.29,510,6,6,0.466,medical,OWN,0
L01118,50,72898,35387,24,23.38,762,4,4,0.485,medical,MORTGAGE,0
L01119,50,15000,13094,60,20.41,379,7,7,0.873,vacation,RENT,0
L01120,51,57545,4407,12,6.47,642,20,8,0.077,home_improvement,RENT,0
L01121,37,79279,14644,48,18.55,531,14,6,0.185,vacation,OWN,0
L01122,61,81958,37772,24,15.17,428,24,4,0.461,debt_consolidation,RENT,0
L01123,40,50827,22298,60,5.31,318,4,8,0.439,education,RENT,0
L01124,39,31128,45446,24,9.77,656,12,7,1.46,vacation,RENT,0
L01125,22,79596,38807,12,22.51,718,18,8,0.488,home_improvement,RENT,0
L01126,35,54066,36072,60,22.6,380,28,7,0.667,medical,RENT,1
L01127,23,52138,40398,24,20.18,417,1,3,0.775,medical,OWN,0
L01128,49,38928,30669,36,23.65,793,4,3,0.788,debt_consolidation,RENT,0
L01129,51,32502,32161,60,20.32,791,25,9,0.99,car,RENT,0
L01130,59,65149,9282,60,5.19,524,28,7,0.142,vacation,RENT,0
L01131,25,67057,28539,60,10.47,718,25,1,0.426,debt_consolidation,OWN,0
L01132,22,58627,5307,60,5.58,436,4,3,0.091,medical,MORTGAGE,0
L01133,29,41247,19745,36,6.79,525,5,1,0.479,home_improvement,OWN,0
L01134,50,35830,41433,12,9.16,633,15,6,1.156,home_improvement,OWN,0
L01135,60,29219,39062,36,14.57,528,1,2,1.337,education,MORTGAGE,0
L01136,24,44910,36555,36,21.1,622,4,7,0.814,car,RENT,0
L01137,53,36894,3073,24,21.38,407,14,8,0.083,car,RENT,0
L01138,31,24232,34683,48,16.71,744,0,6,1.431,medical,RENT,0
L01139,31,66724,27741,48,22.64,306,18,5,0.416,car,RENT,0
L01140,40,31256,24286,24,14.5,427,2,4,0.777,car,RENT,0
L01141,55,72710,5599,36,21.89,652,18,9,0.077,home_improvement,OWN,0
L01142,54,62093,29293,24,13.63,566,14,8,0.472,education,RENT,0
L01143,44,60298,17389,60,10.27,513,2,5,0.288,vacation,MORTGAGE,0
L01144,49,84975,46113,24,22.41,546,7,1,0.543,home_improvement,MORTGAGE,0
L01145,53,31855,14318,24,12.37,673,14,8,0.449,education,MORTGAGE,0
L01146,28,70727,5055,60,14.56,720,0,8,0.071,home_improvement,RENT,0
L01147,50,49642,19043,48,11.25,340,5,7,0.384,medical,MORTGAGE,0
L01148,29,101279,8320,60,17.59,647,21,7,0.082,education,MORTGAGE,0
L01149,22,48145,41281,12,23.91,442,16,8,0.857,education,MORTGAGE,0
L01150,24,45238,6642,24,5.48,440,15,1,0.147,medical,OWN,0
L01151,45,62659,29158,24,22.1,406,12,3,0.465,education,MORTGAGE,0
L01152,44,51239,11321,48,5.07,332,0,4,0.221,vacation,RENT,0
L01153,29,41347,16432,36,11.92,499,2,6,0.397,debt_consolidation,RENT,0
L01154,58,37535,24757,60,8.2,418,23,9,0.66,car,RENT,1
L01155,24,81247,39234,36,19.39,528,5,4,0.483,education,MORTGAGE,1
L01156,54,34057,28044,12,5.96,484,19,6,0.823,car,RENT,1
L01157,49,59015,23971,60,15.52,514,20,9,0.406,home_improvement,RENT,0
L01158,29,74011,46226,12,10.6,429,25,9,0.625,home_improvement,MORTGAGE,0
L01159,55,74880,27727,12,7.54,571,29,6,0.37,education,RENT,0
L01160,56,44170,24559,12,19.66,307,2,5,0.556,education,MORTGAGE,0
L01161,53,51288,10284,60,9.13,702,14,3,0.201,education,MORTGAGE,0
L01162,45,47796,45526,60,9.25,668,29,5,0.953,vacation,RENT,0
L01163,35,27369,19665,48,10.23,836,14,3,0.719,education,RENT,0
L01164,53,64675,29476,24,16.15,352,10,5,0.456,car,OWN,0
L01165,64,55693,12991,36,17.53,546,26,1,0.233,home_improvement,MORTGAGE,0
L01166,37,80930,21561,36,5.33,636,21,6,0.266,home_improvement,MORTGAGE,0
L01167,25,40182,6511,12,9.6,580,5,7,0.162,education,RENT,0
L01168,58,74596,12796,60,13.19,332,5,2,0.172,medical,RENT,0
L01169,42,75866,5881,60,11.31,847,8,3,0.078,debt_consolidation,RENT,0
L01170,35,55847,17668,12,21.8,642,13,9,0.316,education,MORTGAGE,0
L01171,52,15924,37181,24,19.97,538,25,8,2.335,vacation,RENT,1
L01172,39,45773,36312,36,16.89,791,28,4,0.793,debt_consolidation,RENT,0
L01173,28,87145,30106,48,11.42,476,10,8,0.345,debt_consolidation,MORTGAGE,0
L01174,31,60347,29222,24,18.31,343,23,8,0.484,education,OWN,1
L01175,28,67481,17729,60,21.03,603,5,6,0.263,vacation,RENT,0
L01176,54,53395,6784,12,16.3,568,17,1,0.127,car,MORTGAGE,0
L01177,44,50978,40394,36,19.9,699,19,2,0.792,education,OWN,0
L01178,42,21387,39282,12,19.23,730,14,4,1.837,home_improvement,OWN,0
L01179,40,69305,35913,60,15.86,720,21,4,0.518,vacation,MORTGAGE,0
L01180,40,74434,11102,12,10.93,430,8,2,0.149,home_improvement,OWN,1
L01181,57,37884,46266,36,19.17,709,10,9,1.221,education,OWN,0
L01182,50,51780,40218,12,8.93,524,1,2,0.777,education,MORTGAGE,1
L01183,39,49352,19950,36,19.81,442,5,6,0.404,medical,OWN,0
L01184,23,62562,6507,12,20.29,839,25,5,0.104,debt_consolidation,MORTGAGE,0
L01185,22,45201,48303,12,20.62,424,26,4,1.069,medical,OWN,0
L01186,26,71764,39016,36,13.99,511,25,6,0.544,debt_consolidation,OWN,0
L01187,41,56283,15523,12,8.66,727,25,4,0.276,car,RENT,0
L01188,32,15000,26667,24,6.89,736,22,9,1.778,vacation,RENT,0
L01189,63,62968,5992,48,19.12,537,13,7,0.095,car,MORTGAGE,0
L01190,23,72934,43290,24,21.84,627,13,3,0.594,debt_consolidation,RENT,0
L01191,24,34262,10027,48,17.37,418,23,4,0.293,education,RENT,0
L01192,44,62357,24144,24,7.74,345,12,1,0.387,medical,MORTGAGE,0
L01193,33,87939,27530,48,22.76,383,24,6,0.313,debt_consolidation,RENT,0
L01194,41,57017,46740,12,23.79,651,4,2,0.82,education,MORTGAGE,0
L01195,26,75549,17305,36,13.23,312,8,4,0.229,car,OWN,0
L01196,58,47041,45561,36,16.3,471,24,5,0.969,education,RENT,0
L01197,59,54676,23731,60,19.77,533,28,8,0.434,education,RENT,0
L01198,51,51316,22673,48,18.99,480,10,3,0.442,car,RENT,0
L01199,30,48031,35297,60,23.39,350,6,6,0.735,medical,RENT,1
L01200,55,52341,27842,60,7.18,694,1,1,0.532,education,RENT,0
L01201,56,25647,25827,48,16.03,728,23,9,1.007,medical,RENT,0
L01202,43,49044,39502,36,18.15,573,11,1,0.805,education,MORTGAGE,0
L01203,45,79080,48666,48,21.91,506,4,2,0.615,education,OWN,0
L01204,38,37653,28173,12,21.61,447,28,1,0.748,car,MORTGAGE,0
L01205,31,35809,20909,60,23.58,599,26,8,0.584,debt_consolidation,OWN,0
L01206,51,56101,33007,60,14.73,752,23,4,0.588,debt_consolidation,RENT,0
L01207,44,57001,14985,48,20.78,848,1,2,0.263,vacation,RENT,0
L01208,53,61794,24525,60,13.12,682,13,7,0.397,car,RENT,0
L01209,38,52952,48757,36,13.02,833,6,8,0.921,vacation,MORTGAGE,0
L01210,38,56293,37510,60,9.81,532,4,9,0.666,education,MORTGAGE,0
L01211,35,48684,39403,48,20.55,428,3,5,0.809,car,RENT,1
L01212,30,32035,39193,36,23.73,536,9,3,1.223,vacation,OWN,1
L01213,61,53714,43429,36,9.87,784,28,1,0.809,home_improvement,MORTGAGE,0
L01214,23,68042,5830,60,6.07,540,15,8,0.086,debt_consolidation,MORTGAGE,0
L01215,46,64270,2533,48,20.5,522,5,6,0.039,debt_consolidation,OWN,0
L01216,60,23603,49018,60,16.78,398,20,5,2.077,home_improvement,RENT,1
L01217,30,59534,22946,12,23.23,572,5,7,0.385,medical,RENT,0
L01218,43,38930,25504,12,9.79,698,8,5,0.655,home_improvement,MORTGAGE,0
L01219,64,80058,47015,36,6.35,816,0,4,0.587,debt_consolidation,MORTGAGE,0
L01220,25,60872,30255,60,14.36,729,28,5,0.497,car,OWN,0
L01221,47,71133,38855,12,6.62,822,15,7,0.546,vacation,RENT,0
L01222,50,55381,43721,24,9.97,647,26,6,0.789,debt_consolidation,MORTGAGE,0
L01223,55,53811,48061,12,7.39,750,16,9,0.893,home_improvement,MORTGAGE,0
L01224,44,81925,43850,60,9.26,341,12,2,0.535,car,RENT,0
L01225,58,72509,37123,60,7.02,393,5,7,0.512,debt_consolidation,RENT,0
L01226,32,57121,36723,12,23.12,785,1,1,0.643,home_improvement,OWN,0
L01227,27,51406,37739,60,10.29,816,7,8,0.734,debt_consolidation,RENT,0
L01228,39,24270,7539,60,13.43,449,22,4,0.311,home_improvement,RENT,0
L01229,42,60842,9493,24,22.07,798,21,8,0.156,education,RENT,0
L01230,63,52730,37604,36,17.87,670,3,8,0.713,home_improvement,MORTGAGE,0
L01231,57,64971,23311,60,16.74,784,8,4,0.359,debt_consolidation,MORTGAGE,0
L01232,62,70440,39707,48,18.41,682,22,4,0.564,car,RENT,0
L01233,59,77192,5644,36,20.75,491,6,5,0.073,debt_consolidation,MORTGAGE,0
L01234,55,61065,22445,36,21.68,520,20,7,0.368,debt_consolidation,MORTGAGE,0
L01235,38,36165,37934,48,17.21,346,0,6,1.049,education,RENT,0
L01236,58,16312,11511,12,21.91,426,13,1,0.706,car,MORTGAGE,0
L01237,46,40155,2183,24,15.17,306,29,6,0.054,education,OWN,0
L01238,59,79002,11475,60,10.27,415,1,3,0.145,debt_consolidation,MORTGAGE,0
L01239,33,87822,21230,12,21.72,665,7,9,0.242,education,OWN,0
L01240,44,50717,28008,48,15.29,345,10,3,0.552,vacation,OWN,0
L01241,63,28702,13332,24,22.22,692,4,9,0.464,vacation,RENT,0
L01242,43,43328,49941,24,5.76,322,17,5,1.153,vacation,RENT,0
L01243,42,75480,44756,24,12.55,430,11,8,0.593,home_improvement,OWN,0
L01244,48,44361,6722,48,23.01,426,20,9,0.152,medical,MORTGAGE,0
L01245,52,65604,17194,12,9.74,744,23,9,0.262,education,OWN,0
L01246,27,58034,28631,60,22.89,608,19,7,0.493,debt_consolidation,RENT,0
L01247,48,67780,29912,24,23.12,732,18,1,0.441,medical,RENT,0
L01248,61,87724,19166,24,21.76,772,4,8,0.218,education,MORTGAGE,0
L01249,55,65616,48840,12,15.71,347,28,7,0.744,vacation,RENT,0
L01250,33,57644,17976,24,17.29,381,6,4,0.312,car,RENT,0
L01251,28,89710,40623,24,21.52,408,1,6,0.453,vacation,MORTGAGE,0
